STATE/UT,PlaceOfOccurrence,Dacoity,Robbery,Burglary,Theft
Tripura,TOTAL COMPUTER FROM 1 TO 7,84,193,535,860
Uttar Pradesh,BANKS,30,97,41,9
Uttar Pradesh,COMMERCIAL ESTABLISHMENTS,130,312,3974,10103
Uttar Pradesh,HIGH-WAY,849,13737,79,109154
Uttar Pradesh,OTHER PLACES,1764,13198,15558,113992
Uttar Pradesh,OTHERS RLY.,22,155,18,6807
Uttar Pradesh,RAILWAYS,170,692,18,23670
Uttar Pradesh,RESIDENTIAL PREMISES,1864,2725,45917,55119
Uttar Pradesh,RIVER & SEA,2,6,0,0
Uttar Pradesh,RUNNING TRAINS,148,537,0,16863
Uttar Pradesh,TOTAL (MANUAL),4809,30767,65587,312047
Uttar Pradesh,TOTAL COMPUTER FROM 1 TO 7,2065,11873,25280,107501
Uttarakhand,BANKS,8,10,8,14
Uttarakhand,COMMERCIAL ESTABLISHMENTS,23,41,883,1647
Uttarakhand,HIGH-WAY,53,726,10,442
Uttarakhand,OTHER PLACES,107,902,1132,10947
Uttarakhand,OTHERS RLY.,0,2,12,273
Uttarakhand,RAILWAYS,0,7,12,449
Uttarakhand,RESIDENTIAL PREMISES,166,304,3533,6536
Uttarakhand,RIVER & SEA,0,0,0,0
Uttarakhand,RUNNING TRAINS,0,5,0,176
Uttarakhand,TOTAL (MANUAL),357,1990,5578,20035
Uttarakhand,TOTAL COMPUTER FROM 1 TO 7,167,831,2556,7695
West Bengal,BANKS,87,174,17,103
West Bengal,COMMERCIAL ESTABLISHMENTS,286,569,425,19296
West Bengal,HIGH-WAY,274,921,7,1032
West Bengal,OTHER PLACES,1034,4415,2048,95567
West Bengal,OTHERS RLY.,9,35,4,3057
West Bengal,RAILWAYS,75,229,5,9352
West Bengal,RESIDENTIAL PREMISES,886,1036,2998,65111
West Bengal,RIVER & SEA,0,10,0,7
West Bengal,RUNNING TRAINS,66,194,1,6295
West Bengal,TOTAL (MANUAL),2642,7354,5500,190468
West Bengal,TOTAL COMPUTER FROM 1 TO 7,1090,2841,2317,68765
